TEAM,SEASON,TEAM ID,GAMES PLAYED,WINS,LOSSES,TIES,OVETIME LOSSES,POINTS,GOALS FOR,GOALS AGAINST
Winnipeg Jets,20242025,WPG,82,56,22,--,4,116,275,190
Washington Capitals,20242025,WSH,82,51,22,--,9,111,286,229
Vegas Golden Knights,20242025,VGK,82,50,22,--,10,110,274,214
Toronto Maple Leafs,20242025,TOR,82,52,26,--,4,108,267,229
Dallas Stars,20242025,BAL,82,50,26,--,6,106,275,222
Los Angeles Kings,20242025,LAK,82,48,25,--,9,105,249,203
Colorado Avalanche,20242025,COL,82,49,29,--,4,102,273,231
Tampa Bay Lightning,20242025,TBL,82,47,27,--,8,102,292,216
Edmonton Oilers,20242025,EDM,82,48,29,--,5,101,259,235
Carolina Hurricanes,20242025,CAR,82,47,30,--,5,99,266,230
Florida Panthers,20242025,FLA,82,47,31,--,4,98,246,223
Ottawa Senators,20242025,OTT,82,45,30,--,7,97,242,232
Minnesota Wild,20242025,MIN,82,45,30,--,7,97,225,236
St. Louis Blues,20242025,STL,82,44,30,--,8,96,250,231
Calgary Flames,20242025,CGY,82,41,27,--,14,96,220,236
New Jersey Devils,20242025,NJD,82,42,33,--,7,91,240,220
Montréal Canadiens,20242025,MTL,82,40,31,--,11,91,243,261
Vancouver Canucks,20242025,VAN,82,38,30,--,14,90,233,251
Columbus Blue Jackets,20242025,CBJ,82,40,33,--,9,89,267,267
Utah Hockey Club,20242025,UTA,82,38,31,--,13,89,240,247
Detroit Red Wings,20242025,DET,82,39,35,--,8,86,235,259
New York Rangers,20242025,NYR,82,39,36,--,7,85,255,255
New York Islanders,20242025,NYI,82,35,35,--,12,82,222,257
Anaheim Ducks,20242025,ANA,82,35,37,--,10,80,217,261
Pittsburgh Penguins,20242025,PIT,82,34,36,--,12,80,242,287
Buffalo Sabres,20242025,BUF,82,36,39,--,7,79,265,287
Seattle Kraken,20242025,SEA,82,35,41,--,6,76,245,262
Philadelphia Flyers,20242025,PHI,82,33,39,--,10,76,232,283
Boston Bruins,20242025,BOS,82,33,39,--,10,76,222,271
Nashville Predators,20242025,NSH,82,30,44,--,8,68,212,274
Chicago Blackhawks,20242025,CHI,82,25,46,--,11,61,224,292
San Jose Sharks,20242025,SJS,82,20,50,--,12,52,208,310
